Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1988","1988","t","1750","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1989","1989","t","704","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1990","1990","t","2432","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1991","1991","t","1206","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1992","1992","t","2407","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1993","1993","t","2108","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1994","1994","t","1894","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1995","1995","t","1908","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1996","1996","t","2656","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1997","1997","t","2005","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1998","1998","t","1053","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1999","1999","t","1689","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","2000","2000","t","2711","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","2001","2001","t","4361","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","2002","2002","t","4441","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","2003","2003","t","2522","A","Official figure",""
